MMSI,STATUS,STATION_ID,SPEED,LON,LAT,COURSE,HEADING,ROT,2013-07-01 17:43:00
247039300,0,81,180,15.4415,42.75178,144,144,NULL,2013-07-01 13:06:00
247039300,0,82,154,16.21578,42.03212,149,150,NULL,2013-07-01 17:39:00
247039300,0,83,157,14.36933,43.81345,141,142,NULL,2013-07-01 16:53:00
247039300,0,84,156,16.80937,41.34813,123,124,NULL,2013-07-01 17:42:00
247039300,0,85,154,16.19508,42.05627,143,143,NULL,2013-07-01 17:38:00
247039300,0,86,151,15.89673,42.3478,142,143,NULL,2013-07-01 17:42:00
247039300,0,88,155,16.57032,41.57028,150,150,NULL,2013-07-01 16:35:00
247039300,0,89,157,16.25182,41.98653,149,150,NULL,2013-07-01 17:39:00
247039300,0,90,155,16.5214,41.63402,149,150,NULL,2013-07-01 08:15:00
247039300,0,91,155,16.11517,42.13335,141,143,NULL,2013-07-01 15:09:00
247039300,0,92,154,15.70893,42.52677,140,141,NULL,2013-07-01 17:38:00
247039300,0,93,157,14.2371,43.9266,138,138,NULL,2013-07-01 07:48:00
247039300,0,96,153,16.63083,41.48892,151,150,NULL,2013-07-01 11:24:00
247039300,0,97,160,18.22737,40.5715,142,143,NULL,2013-07-01 17:37:00
247039300,0,99,159,16.41297,41.77672,150,150,NULL,2013-07-01 11:24:00
247039300,0,102,154,16.95163,41.27268,125,124,NULL,2013-07-01 17:36:00
247039300,0,104,151,15.51695,42.68015,135,135,NULL,2013-07-01 17:43:00
247039300,0,105,152,19.01322,39.66583,146,149,NULL,2013-07-01 17:40:00
247039300,0,106,150,15.52178,42.6765,135,136,NULL,2013-07-01 17:43:00
247039300,0,107,161,18.31122,40.48707,143,143,NULL,2013-07-01 17:43:00
247039300,0,109,159,17.86957,40.82278,123,123,NULL,2013-07-01 11:24:00
247039300,0,110,160,18.87793,39.82735,149,149,NULL,2013-07-01 17:25:00
247039300,0,111,155,15.26575,42.92458,142,145,NULL,2013-07-01 17:44:00
247039300,0,112,157,17.06737,41.21285,123,123,NULL,2013-07-01 17:36:00
247039300,0,113,156,16.74385,41.38107,123,124,NULL,2013-07-01 13:06:00
247039300,0,117,157,17.12788,41.18237,123,123,NULL,2013-07-01 17:43:00
247039300,0,118,160,16.43227,41.75063,151,150,NULL,2013-07-01 16:49:00
247039300,0,119,160,17.35417,41.07482,119,119,NULL,2013-07-01 17:44:00
247039300,0,120,157,14.17603,43.9751,137,138,NULL,2013-07-01 17:36:00
247039300,0,121,150,19.0688,39.60173,146,149,NULL,2013-07-01 13:07:00
247039300,0,122,160,16.32975,41.88747,149,150,NULL,2013-07-01 17:31:00
247039300,0,123,156,15.2073,42.97989,142,145,NULL,2013-07-01 17:44:00
247039300,0,124,160,18.03825,40.73852,123,123,NULL,2013-07-01 09:46:00
247039300,0,126,153,16.69625,41.40572,130,128,NULL,2013-07-01 17:41:00
247039300,0,127,155,15.29447,42.89738,142,144,NULL,2013-07-01 15:46:00
247039300,0,128,154,15.95233,42.29357,142,143,NULL,2013-07-01 15:02:00
247039300,0,129,157,16.00443,42.2426,142,143,NULL,2013-07-01 15:07:00
247039300,0,130,162,17.3903,41.05913,120,119,NULL,2013-07-01 11:31:00
247039300,0,131,157,17.02933,41.2323,124,123,NULL,2013-07-01 08:15:00
247039300,0,132,157,17.10027,41.19623,123,123,NULL,2013-07-01 15:10:00
247039300,0,134,160,17.83838,40.83848,123,123,NULL,2013-07-01 13:03:00
247039300,0,135,155,14.04978,44.07762,138,138,NULL,2013-07-01 09:54:00
247039300,0,136,160,17.50487,41.00505,122,122,NULL,2013-07-01 15:07:00
247039300,0,137,161,16.3893,41.8088,151,150,NULL,2013-07-01 08:14:00
247039300,0,138,154,16.62117,41.50198,150,150,NULL,2013-07-01 13:10:00
247039300,0,139,154,16.0991,42.14857,142,143,NULL,2013-07-01 07:50:00
247039300,0,140,156,14.02728,44.0979,145,145,NULL,2013-07-01 17:42:00
247039300,0,141,155,14.10368,44.03307,139,138,NULL,2013-07-01 17:34:00
